iter	Passed	Remaining
0	146	146170
1	146	73318
2	147	49024
3	148	36871
4	148	29581
5	149	24718
6	149	21241
7	150	18636
8	150	16609
9	151	14987
10	151	13662
11	152	12556
12	153	11621
13	153	10819
14	154	10124
15	154	9515
16	155	8979
17	155	8501
18	156	8074
19	156	7689
20	157	7342
21	158	7026
22	158	6742
23	159	6479
24	159	6234
25	160	6006
26	160	5794
27	161	5598
28	161	5415
29	162	5244
30	162	5085
31	163	4936
32	163	4796
33	164	4663
34	164	4538
35	165	4420
36	165	4308
37	166	4203
38	166	4102
39	166	4007
40	167	3916
41	167	3831
42	168	3748
43	168	3669
44	169	3594
45	169	3522
46	170	3453
47	170	3387
48	171	3324
49	171	3262
50	172	3204
51	172	3148
52	173	3094
53	173	3041
54	174	2991
55	174	2942
56	175	2895
57	175	2850
58	175	2806
59	176	2764
60	176	2723
61	177	2683
62	177	2644
63	178	2607
64	178	2571
65	179	2536
66	179	2502
67	179	2466
68	180	2433
69	180	2402
70	181	2372
71	181	2342
72	182	2314
73	182	2286
74	183	2259
75	183	2232
76	184	2206
77	184	2181
78	185	2156
79	185	2132
80	185	2109
81	186	2086
82	186	2064
83	187	2043
84	187	2020
85	188	2000
86	188	1978
87	188	1958
88	189	1939
89	189	1920
90	190	1902
91	190	1884
92	191	1866
93	191	1848
94	192	1831
95	192	1815
96	193	1798
97	193	1782
98	194	1766
99	194	1751
100	195	1736
101	195	1719
102	195	1705
103	196	1690
104	196	1676
105	197	1662
106	197	1649
107	198	1636
108	198	1623
109	199	1610
110	199	1597
111	199	1585
112	200	1573
113	200	1561
114	201	1550
115	201	1538
116	202	1527
117	202	1515
118	203	1504
119	203	1493
120	204	1482
121	204	1471
122	204	1460
123	205	1449
124	205	1439
125	206	1429
126	206	1420
127	206	1409
128	207	1400
129	207	1390
130	208	1381
131	208	1372
132	209	1363
133	209	1355
134	210	1346
135	210	1337
136	211	1329
137	211	1320
138	211	1313
139	212	1304
140	212	1296
141	213	1289
142	213	1281
143	214	1273
144	214	1266
145	215	1258
146	215	1251
147	216	1243
148	216	1236
149	217	1229
150	217	1222
151	217	1215
152	218	1209
153	218	1202
154	219	1195
155	219	1189
156	220	1182
157	220	1176
158	221	1169
159	221	1163
160	222	1157
161	222	1151
162	223	1145
163	223	1139
164	223	1133
165	224	1127
166	224	1121
167	225	1116
168	225	1110
169	226	1104
170	226	1099
171	227	1094
172	227	1088
173	228	1083
174	228	1078
175	229	1073
176	229	1067
177	230	1062
178	230	1057
179	231	1052
180	231	1046
181	231	1041
182	232	1036
183	232	1031
184	233	1027
185	233	1022
186	234	1017
187	234	1012
188	234	1008
189	235	1003
190	235	999
191	236	994
192	236	990
193	237	985
194	237	981
195	238	977
196	238	972
197	239	968
198	239	964
199	240	960
200	240	956
201	240	951
202	241	947
203	241	943
204	242	939
205	242	936
206	243	932
207	243	928
208	244	924
209	244	920
210	245	917
211	245	913
212	246	909
213	246	905
214	247	902
215	247	898
216	248	894
217	248	891
218	248	887
219	249	884
220	249	880
221	250	877
222	250	873
223	251	870
224	251	866
225	252	863
226	252	860
227	253	856
228	253	853
229	253	850
230	254	846
231	254	843
232	255	840
233	255	837
234	256	834
235	256	831
236	257	828
237	257	825
238	258	822
239	258	819
240	259	816
241	259	813
242	260	810
243	260	807
244	261	804
245	261	801
246	261	798
247	262	795
248	262	792
249	263	789
250	263	787
251	264	784
252	264	781
253	265	778
254	265	775
255	266	773
256	266	770
257	266	767
258	267	765
259	267	762
260	268	759
261	268	757
262	269	754
263	269	751
264	270	749
265	270	746
266	271	744
267	271	741
268	271	739
269	272	736
270	272	734
271	273	731
272	273	729
273	274	726
274	274	724
275	275	721
276	275	719
277	276	717
278	276	714
279	277	712
280	277	710
281	277	707
282	278	705
283	278	703
284	279	700
285	279	698
286	280	696
287	280	694
288	281	692
289	281	690
290	282	687
291	282	685
292	283	683
293	283	681
294	284	679
295	284	677
296	285	675
297	285	672
298	286	670
299	286	668
300	286	666
301	287	664
302	287	662
303	288	660
304	288	658
305	289	656
306	289	654
307	290	652
308	290	649
309	291	647
310	291	645
311	292	644
312	292	642
313	293	640
314	293	638
315	293	636
316	294	634
317	294	632
318	295	630
319	295	628
320	296	626
321	296	624
322	297	622
323	297	621
324	298	619
325	298	617
326	299	615
327	299	613
328	300	612
329	300	610
330	301	608
331	301	606
332	302	605
333	302	603
334	303	601
335	303	599
336	303	597
337	304	596
338	304	594
339	305	592
340	305	590
341	306	589
342	306	587
343	307	585
344	307	584
345	308	582
346	308	580
347	309	578
348	309	577
349	309	575
350	310	573
351	310	572
352	311	570
353	311	568
354	312	567
355	312	565
356	313	563
357	313	562
358	314	560
359	314	559
360	315	558
361	315	556
362	316	555
363	316	553
364	317	552
365	317	550
366	318	549
367	318	547
368	319	545
369	319	544
370	320	542
371	320	541
372	321	539
373	321	538
374	322	536
375	322	535
376	322	533
377	323	532
378	323	530
379	324	529
380	324	527
381	325	526
382	325	524
383	326	523
384	326	521
385	327	520
386	327	518
387	327	517
388	328	515
389	328	514
390	329	513
391	329	511
392	330	510
393	330	508
394	331	507
395	331	505
396	332	504
397	332	503
398	333	501
399	333	500
400	333	498
401	334	497
402	334	496
403	335	494
404	335	493
405	336	492
406	336	490
407	337	489
408	337	487
409	338	486
410	338	485
411	339	483
412	339	482
413	339	481
414	340	479
415	340	478
416	341	477
417	341	476
418	342	474
419	342	473
420	343	472
421	343	470
422	344	469
423	344	468
424	345	466
425	345	465
426	346	464
427	346	463
428	346	461
429	347	460
430	347	459
431	348	457
432	348	456
433	349	455
434	349	454
435	350	452
436	350	451
437	351	450
438	351	449
439	351	447
440	352	446
441	352	445
442	353	444
443	353	443
444	354	441
445	354	440
446	355	439
447	355	438
448	356	437
449	356	435
450	357	434
451	357	433
452	357	432
453	358	431
454	358	429
455	359	428
456	359	427
457	360	426
458	360	425
459	361	423
460	361	422
461	362	421
462	362	420
463	362	419
464	363	418
465	363	417
466	364	415
467	364	414
468	365	413
469	365	412
470	366	411
471	366	410
472	367	409
473	367	407
474	368	406
475	368	405
476	368	404
477	369	403
478	369	402
479	370	401
480	370	400
481	371	399
482	371	397
483	372	396
484	372	395
485	373	394
486	373	393
487	374	392
488	374	391
489	374	390
490	375	389
491	375	388
492	376	387
493	376	385
494	377	384
495	377	383
496	378	382
497	378	381
498	379	380
499	379	379
500	380	378
501	380	377
502	380	376
503	381	375
504	381	374
505	382	373
506	382	372
507	383	371
508	383	370
509	384	369
510	384	368
511	385	367
512	385	366
513	386	365
514	386	364
515	387	363
516	387	362
517	388	361
518	388	360
519	388	359
520	389	358
521	389	356
522	390	355
523	390	355
524	391	354
525	391	353
526	392	352
527	392	351
528	393	350
529	393	349
530	394	348
531	394	347
532	394	346
533	395	345
534	395	344
535	396	343
536	396	342
537	397	341
538	397	340
539	398	339
540	398	338
541	399	337
542	399	336
543	400	335
544	400	334
545	401	333
546	401	332
547	402	331
548	402	330
549	402	329
550	403	328
551	403	327
552	404	326
553	404	325
554	405	324
555	405	323
556	406	323
557	406	322
558	407	321
559	407	320
560	407	319
561	408	318
562	408	317
563	409	316
564	409	315
565	410	314
566	410	313
567	411	312
568	411	311
569	412	310
570	412	310
571	413	309
572	413	308
573	414	307
574	414	306
575	415	305
576	415	304
577	415	303
578	416	302
579	416	301
580	417	300
581	417	300
582	418	299
583	418	298
584	419	297
585	419	296
586	420	295
587	420	294
588	421	293
589	421	293
590	422	292
591	422	291
592	423	290
593	423	289
594	423	288
595	424	287
596	424	286
597	425	286
598	425	285
599	426	284
600	426	283
601	427	282
602	427	281
603	428	280
604	428	279
605	429	279
606	429	278
607	430	277
608	430	276
609	431	275
610	431	274
611	432	273
612	432	273
613	432	272
614	433	271
615	433	270
616	434	269
617	434	268
618	435	267
619	435	267
620	436	266
621	436	265
622	437	264
623	437	263
624	438	262
625	438	262
626	438	261
627	439	260
628	439	259
629	440	258
630	440	257
631	441	256
632	441	256
633	442	255
634	442	254
635	443	253
636	443	252
637	444	252
638	444	251
639	445	250
640	445	249
641	446	248
642	446	247
643	447	247
644	447	246
645	447	245
646	448	244
647	448	243
648	449	243
649	449	242
650	450	241
651	450	240
652	451	239
653	451	238
654	452	238
655	452	237
656	453	236
657	453	235
658	453	234
659	454	234
660	454	233
661	455	232
662	455	231
663	456	230
664	456	230
665	457	229
666	457	228
667	458	227
668	458	226
669	459	226
670	459	225
671	460	224
672	460	223
673	460	222
674	461	222
675	461	221
676	462	220
677	462	219
678	463	219
679	463	218
680	464	217
681	464	216
682	465	215
683	465	215
684	466	214
685	466	213
686	466	212
687	467	211
688	467	211
689	468	210
690	468	209
691	469	208
692	469	208
693	470	207
694	470	206
695	471	205
696	471	205
697	472	204
698	472	203
699	473	202
700	473	202
701	474	201
702	474	200
703	474	199
704	475	198
705	475	198
706	476	197
707	476	196
708	477	195
709	477	195
710	478	194
711	478	193
712	479	192
713	479	192
714	479	191
715	480	190
716	480	189
717	481	189
718	481	188
719	482	187
720	482	186
721	483	186
722	483	185
723	484	184
724	484	183
725	485	183
726	485	182
727	486	181
728	486	180
729	487	180
730	487	179
731	488	178
732	488	177
733	489	177
734	489	176
735	489	175
736	490	175
737	490	174
738	491	173
739	491	172
740	492	172
741	492	171
742	493	170
743	493	169
744	494	169
745	494	168
746	495	167
747	495	166
748	496	166
749	496	165
750	497	164
751	497	164
752	497	163
753	498	162
754	498	161
755	499	161
756	499	160
757	500	159
758	500	158
759	501	158
760	501	157
761	502	156
762	502	156
763	503	155
764	503	154
765	504	153
766	504	153
767	504	152
768	505	151
769	505	151
770	506	150
771	506	149
772	507	148
773	507	148
774	508	147
775	508	146
776	509	146
777	509	145
778	510	144
779	510	144
780	511	143
781	511	142
782	511	141
783	512	141
784	512	140
785	513	139
786	513	139
787	514	138
788	514	137
789	515	136
790	515	136
791	516	135
792	516	134
793	517	134
794	517	133
795	518	132
796	518	132
797	519	131
798	519	130
799	519	129
800	520	129
801	520	128
802	521	127
803	521	127
804	522	126
805	522	125
806	523	125
807	523	124
808	524	123
809	524	123
810	525	122
811	525	121
812	526	120
813	526	120
814	527	119
815	527	118
816	527	118
817	528	117
818	528	116
819	529	116
820	529	115
821	530	114
822	530	114
823	531	113
824	531	112
825	532	112
826	532	111
827	533	110
828	533	110
829	534	109
830	534	108
831	534	108
832	535	107
833	535	106
834	536	105
835	536	105
836	537	104
837	537	103
838	538	103
839	538	102
840	539	101
841	539	101
842	540	100
843	540	99
844	541	99
845	541	98
846	542	97
847	542	97
848	543	96
849	543	95
850	544	95
851	544	94
852	544	93
853	545	93
854	545	92
855	546	91
856	546	91
857	547	90
858	547	89
859	548	89
860	548	88
861	549	87
862	549	87
863	550	86
864	550	85
865	551	85
866	551	84
867	552	83
868	552	83
869	553	82
870	553	81
871	553	81
872	554	80
873	554	80
874	555	79
875	555	78
876	556	78
877	556	77
878	557	76
879	557	76
880	558	75
881	558	74
882	559	74
883	559	73
884	560	72
885	560	72
886	561	71
887	561	70
888	562	70
889	562	69
890	563	68
891	563	68
892	563	67
893	564	66
894	564	66
895	565	65
896	565	64
897	566	64
898	566	63
899	567	63
900	567	62
901	568	61
902	568	61
903	569	60
904	569	59
905	570	59
906	570	58
907	570	57
908	571	57
909	571	56
910	572	55
911	572	55
912	573	54
913	573	53
914	574	53
915	574	52
916	575	52
917	575	51
918	576	50
919	576	50
920	576	49
921	577	48
922	577	48
923	578	47
924	578	46
925	579	46
926	579	45
927	580	45
928	580	44
929	581	43
930	581	43
931	582	42
932	582	41
933	582	41
934	583	40
935	583	39
936	584	39
937	584	38
938	585	38
939	585	37
940	586	36
941	586	36
942	586	35
943	587	34
944	587	34
945	588	33
946	588	32
947	589	32
948	589	31
949	590	31
950	590	30
951	591	29
952	591	29
953	592	28
954	592	27
955	592	27
956	593	26
957	593	26
958	594	25
959	594	24
960	595	24
961	595	23
962	596	22
963	596	22
964	597	21
965	597	21
966	598	20
967	598	19
968	599	19
969	599	18
970	599	17
971	600	17
972	600	16
973	601	16
974	601	15
975	602	14
976	602	14
977	603	13
978	603	12
979	604	12
980	604	11
981	605	11
982	605	10
983	605	9
984	606	9
985	606	8
986	607	7
987	607	7
988	608	6
989	608	6
990	609	5
991	609	4
992	610	4
993	610	3
994	611	3
995	611	2
996	612	1
997	612	1
998	613	0
999	613	0
